state,year,total_ev_4,total_ev_3,total_ev_2,charging_stations,total_ev,ev_per_station,infra_status,prev_year_ev,yoy_growth_pct
Andaman & Nicobar Island,2021,1177,153,4031,7,5361,765.8571429,High Stress,,
Andaman & Nicobar Island,2022,1573,240,4769,7,6582,940.2857143,High Stress,5361,22.77560157
Andaman & Nicobar Island,2023,1703,715,4949,7,7367,1052.428571,High Stress,6582,11.92646612
Andaman & Nicobar Island,2024,1762,141,5705,7,7608,1086.857143,High Stress,7367,3.271345188
Andaman & Nicobar Island,2025,2193,223,6465,7,8881,1268.714286,High Stress,7608,16.73238696
Andhra Pradesh,2021,89397,22433,748106,1309,859936,656.9411765,High Stress,,
Andhra Pradesh,2022,86311,28042,653691,1309,768044,586.7410237,High Stress,859936,-10.68591151
Andhra Pradesh,2023,88075,48392,672522,1309,808989,618.0206264,High Stress,768044,5.331074782
Andhra Pradesh,2024,79388,39667,719077,1309,838132,640.2841864,High Stress,808989,3.60239756
Andhra Pradesh,2025,82069,43234,723351,1309,848654,648.3223835,High Stress,838132,1.255410842
Arunachal Pradesh,2021,7943,126,12790,53,20859,393.5660377,Moderate,,
Arunachal Pradesh,2022,10295,144,13003,53,23442,442.3018868,Moderate,20859,12.38314397
Arunachal Pradesh,2023,12618,150,13956,53,26724,504.2264151,High Stress,23442,14.0005119
Arunachal Pradesh,2024,13784,154,18102,53,32040,604.5283019,High Stress,26724,19.8922317
Arunachal Pradesh,2025,17231,117,17157,53,34505,651.0377358,High Stress,32040,7.693508115
Assam,2021,68745,21177,336228,518,426150,822.6833977,High Stress,,
Assam,2022,81656,46237,349626,518,477519,921.8513514,High Stress,426150,12.05420627
Assam,2023,88761,70353,450880,518,609994,1177.594595,High Stress,477519,27.74235161
Assam,2024,78394,74359,437484,518,590237,1139.453668,High Stress,609994,-3.238884317
Assam,2025,71917,85543,407983,518,565443,1091.588803,High Stress,590237,-4.200685487
Bihar,2021,63215,45271,834261,818,942747,1152.502445,High Stress,,
Bihar,2022,68063,72225,913458,818,1053746,1288.198044,High Stress,942747,11.77399663
Bihar,2023,72612,108108,1034530,818,1215250,1485.635697,High Stress,1053746,15.32665367
Bihar,2024,76971,120802,1125911,818,1323684,1618.195599,High Stress,1215250,8.922773092
Bihar,2025,88385,119637,1217935,818,1425957,1743.223716,High Stress,1323684,7.726390891
Chandigarh,2021,20295,601,16425,22,37321,1696.409091,High Stress,,
Chandigarh,2022,25700,1766,22029,22,49495,2249.772727,High Stress,37321,32.61970472
Chandigarh,2023,26831,3326,21792,22,51949,2361.318182,High Stress,49495,4.958076573
Chandigarh,2024,20140,3069,21642,22,44851,2038.681818,High Stress,51949,-13.66340064
Chandigarh,2025,21569,2157,25371,22,49097,2231.681818,High Stress,44851,9.466901518
Chhattisgarh,2021,48912,2848,353423,571,405183,709.6024518,High Stress,,
Chhattisgarh,2022,53066,6841,379393,571,439300,769.352014,High Stress,405183,8.420145959
Chhattisgarh,2023,58482,12757,422629,571,493868,864.9176883,High Stress,439300,12.42157979
